CustomerID,CustomerName,Email,Phone,JoinDate,LocationID,TotalSpent
33,Customer_33,customer33@example.com,123-456-7893,2020-02-02,33,5042.02
34,Customer_34,customer34@example.com,123-456-7894,2020-02-03,3,1377.79
35,Customer_35,customer35@example.com,123-456-7895,2020-02-04,40,7093.51
36,Customer_36,customer36@example.com,123-456-7896,2020-02-05,45,1964.46
37,Customer_37,customer37@example.com,123-456-7897,2020-02-06,17,8883.76
38,Customer_38,customer38@example.com,123-456-7898,2020-02-07,5,4278.75
39,Customer_39,customer39@example.com,123-456-7899,2020-02-08,21,5704.71
40,Customer_40,customer40@example.com,123-456-7890,2020-02-09,15,2780.42
41,Customer_41,customer41@example.com,123-456-7891,2020-02-10,44,8562.86
42,Customer_42,customer42@example.com,123-456-7892,2020-02-11,40,5920.39
43,Customer_43,customer43@example.com,123-456-7893,2020-02-12,19,5809.6
44,Customer_44,customer44@example.com,123-456-7894,2020-02-13,33,5851.42
45,Customer_45,customer45@example.com,123-456-7895,2020-02-14,9,2276.13
46,Customer_46,customer46@example.com,123-456-7896,2020-02-15,24,3729.31
47,Customer_47,customer47@example.com,123-456-7897,2020-02-16,17,3987.3
48,Customer_48,customer48@example.com,123-456-7898,2020-02-17,24,4104.93
49,Customer_49,customer49@example.com,123-456-7899,2020-02-18,42,7342.89
50,Customer_50,customer50@example.com,123-456-7890,2020-02-19,16,8132.39
51,Customer_51,customer51@example.com,123-456-7891,2020-02-20,19,621.72
52,Customer_52,customer52@example.com,123-456-7892,2020-02-21,29,3554.96
53,Customer_53,customer53@example.com,123-456-7893,2020-02-22,49,5155.65
54,Customer_54,customer54@example.com,123-456-7894,2020-02-23,6,9196.98
55,Customer_55,customer55@example.com,123-456-7895,2020-02-24,13,7242.04
56,Customer_56,customer56@example.com,123-456-7896,2020-02-25,14,4139.26
57,Customer_57,customer57@example.com,123-456-7897,2020-02-26,31,5702.21
58,Customer_58,customer58@example.com,123-456-7898,2020-02-27,18,9797.11
59,Customer_59,customer59@example.com,123-456-7899,2020-02-28,41,3645.23
60,Customer_60,customer60@example.com,123-456-7890,2020-02-29,20,9654.47
61,Customer_61,customer61@example.com,123-456-7891,2020-03-01,34,9016.29
62,Customer_62,customer62@example.com,123-456-7892,2020-03-02,38,3805.19
63,Customer_63,customer63@example.com,123-456-7893,2020-03-03,4,5364.04
64,Customer_64,customer64@example.com,123-456-7894,2020-03-04,14,730.45
65,Customer_65,customer65@example.com,123-456-7895,2020-03-05,14,5833.27
66,Customer_66,customer66@example.com,123-456-7896,2020-03-06,44,8083.33
67,Customer_67,customer67@example.com,123-456-7897,2020-03-07,35,8286.3
68,Customer_68,customer68@example.com,123-456-7898,2020-03-08,47,2082.83
69,Customer_69,customer69@example.com,123-456-7899,2020-03-09,2,5749.6
70,Customer_70,customer70@example.com,123-456-7890,2020-03-10,36,5150.83
71,Customer_71,customer71@example.com,123-456-7891,2020-03-11,7,4875.67
72,Customer_72,customer72@example.com,123-456-7892,2020-03-12,32,5587.92
73,Customer_73,customer73@example.com,123-456-7893,2020-03-13,34,632.5
74,Customer_74,customer74@example.com,123-456-7894,2020-03-14,46,5219.04
75,Customer_75,customer75@example.com,123-456-7895,2020-03-15,2,6876.73
76,Customer_76,customer76@example.com,123-456-7896,2020-03-16,10,9664.18
77,Customer_77,customer77@example.com,123-456-7897,2020-03-17,21,6786.03
78,Customer_78,customer78@example.com,123-456-7898,2020-03-18,14,2030.03
79,Customer_79,customer79@example.com,123-456-7899,2020-03-19,30,6857.4
80,Customer_80,customer80@example.com,123-456-7890,2020-03-20,33,9629.86
81,Customer_81,customer81@example.com,123-456-7891,2020-03-21,38,6408.15
82,Customer_82,customer82@example.com,123-456-7892,2020-03-22,38,923.69
83,Customer_83,customer83@example.com,123-456-7893,2020-03-23,46,4524.32
84,Customer_84,customer84@example.com,123-456-7894,2020-03-24,4,2992.85
85,Customer_85,customer85@example.com,123-456-7895,2020-03-25,19,8213.81
86,Customer_86,customer86@example.com,123-456-7896,2020-03-26,8,6217.99
87,Customer_87,customer87@example.com,123-456-7897,2020-03-27,30,3293.88
88,Customer_88,customer88@example.com,123-456-7898,2020-03-28,34,762.69
89,Customer_89,customer89@example.com,123-456-7899,2020-03-29,33,8802.1
90,Customer_90,customer90@example.com,123-456-7890,2020-03-30,29,6073.4
91,Customer_91,customer91@example.com,123-456-7891,2020-03-31,23,4610.19
92,Customer_92,customer92@example.com,123-456-7892,2020-04-01,37,1830.4
93,Customer_93,customer93@example.com,123-456-7893,2020-04-02,13,968.31
94,Customer_94,customer94@example.com,123-456-7894,2020-04-03,31,8556.94
95,Customer_95,customer95@example.com,123-456-7895,2020-04-04,34,8922.33
96,Customer_96,customer96@example.com,123-456-7896,2020-04-05,4,4621.24
97,Customer_97,customer97@example.com,123-456-7897,2020-04-06,2,4679.22
98,Customer_98,customer98@example.com,123-456-7898,2020-04-07,49,6159.23
99,Customer_99,customer99@example.com,123-456-7899,2020-04-08,16,447.69
100,Customer_100,customer100@example.com,123-456-7890,2020-04-09,43,4113.3
101,Customer_101,customer101@example.com,123-456-7891,2020-04-10,14,7525.07
102,Customer_102,customer102@example.com,123-456-7892,2020-04-11,24,466.64
103,Customer_103,customer103@example.com,123-456-7893,2020-04-12,49,9437.52
104,Customer_104,customer104@example.com,123-456-7894,2020-04-13,49,3279.37
105,Customer_105,customer105@example.com,123-456-7895,2020-04-14,5,5263.59
106,Customer_106,customer106@example.com,123-456-7896,2020-04-15,38,4914.7
107,Customer_107,customer107@example.com,123-456-7897,2020-04-16,42,2072.08
108,Customer_108,customer108@example.com,123-456-7898,2020-04-17,13,2272.04
109,Customer_109,customer109@example.com,123-456-7899,2020-04-18,8,9531.42
110,Customer_110,customer110@example.com,123-456-7890,2020-04-19,2,9981.22
111,Customer_111,customer111@example.com,123-456-7891,2020-04-20,13,5806.6
112,Customer_112,customer112@example.com,123-456-7892,2020-04-21,21,1632.66
113,Customer_113,customer113@example.com,123-456-7893,2020-04-22,45,9448.1
114,Customer_114,customer114@example.com,123-456-7894,2020-04-23,29,3322.01
115,Customer_115,customer115@example.com,123-456-7895,2020-04-24,36,9370.56
116,Customer_116,customer116@example.com,123-456-7896,2020-04-25,14,350.76
117,Customer_117,customer117@example.com,123-456-7897,2020-04-26,31,3311.64
118,Customer_118,customer118@example.com,123-456-7898,2020-04-27,8,3915.31
119,Customer_119,customer119@example.com,123-456-7899,2020-04-28,31,9839.33
120,Customer_120,customer120@example.com,123-456-7890,2020-04-29,1,7122.4
121,Customer_121,customer121@example.com,123-456-7891,2020-04-30,4,5645.93
122,Customer_122,customer122@example.com,123-456-7892,2020-05-01,10,919.56
123,Customer_123,customer123@example.com,123-456-7893,2020-05-02,4,1262.35
124,Customer_124,customer124@example.com,123-456-7894,2020-05-03,41,1936.32
125,Customer_125,customer125@example.com,123-456-7895,2020-05-04,33,5908.22
126,Customer_126,customer126@example.com,123-456-7896,2020-05-05,8,2692.57
127,Customer_127,customer127@example.com,123-456-7897,2020-05-06,14,6826.18
128,Customer_128,customer128@example.com,123-456-7898,2020-05-07,26,9943.46
129,Customer_129,customer129@example.com,123-456-7899,2020-05-08,24,2484.44
130,Customer_130,customer130@example.com,123-456-7890,2020-05-09,32,5903.77
131,Customer_131,customer131@example.com,123-456-7891,2020-05-10,8,842.67
132,Customer_132,customer132@example.com,123-456-7892,2020-05-11,11,4730.14
133,Customer_133,customer133@example.com,123-456-7893,2020-05-12,46,7991.99
134,Customer_134,customer134@example.com,123-456-7894,2020-05-13,22,9639.75
135,Customer_135,customer135@example.com,123-456-7895,2020-05-14,6,2250.94
136,Customer_136,customer136@example.com,123-456-7896,2020-05-15,47,4452.55
137,Customer_137,customer137@example.com,123-456-7897,2020-05-16,27,8241.64
138,Customer_138,customer138@example.com,123-456-7898,2020-05-17,46,1067.39
139,Customer_139,customer139@example.com,123-456-7899,2020-05-18,31,682.05
140,Customer_140,customer140@example.com,123-456-7890,2020-05-19,41,4771.55
141,Customer_141,customer141@example.com,123-456-7891,2020-05-20,3,5334.34
142,Customer_142,customer142@example.com,123-456-7892,2020-05-21,7,8910.93
143,Customer_143,customer143@example.com,123-456-7893,2020-05-22,29,6613.42
144,Customer_144,customer144@example.com,123-456-7894,2020-05-23,7,9348.32
145,Customer_145,customer145@example.com,123-456-7895,2020-05-24,14,8430.02
146,Customer_146,customer146@example.com,123-456-7896,2020-05-25,10,9917.26
147,Customer_147,customer147@example.com,123-456-7897,2020-05-26,10,9362.23
148,Customer_148,customer148@example.com,123-456-7898,2020-05-27,19,9057.6
149,Customer_149,customer149@example.com,123-456-7899,2020-05-28,4,9498.61
150,Customer_150,customer150@example.com,123-456-7890,2020-05-29,44,497.29
151,Customer_151,customer151@example.com,123-456-7891,2020-05-30,17,2133.65
152,Customer_152,customer152@example.com,123-456-7892,2020-05-31,6,9760.22
153,Customer_153,customer153@example.com,123-456-7893,2020-06-01,35,9524.24
154,Customer_154,customer154@example.com,123-456-7894,2020-06-02,19,4928.85
155,Customer_155,customer155@example.com,123-456-7895,2020-06-03,18,6339.07
156,Customer_156,customer156@example.com,123-456-7896,2020-06-04,29,7700.12
157,Customer_157,customer157@example.com,123-456-7897,2020-06-05,15,6913.74
158,Customer_158,customer158@example.com,123-456-7898,2020-06-06,13,9099.58
159,Customer_159,customer159@example.com,123-456-7899,2020-06-07,36,5485.84
160,Customer_160,customer160@example.com,123-456-7890,2020-06-08,6,4751.35
161,Customer_161,customer161@example.com,123-456-7891,2020-06-09,32,527.9
162,Customer_162,customer162@example.com,123-456-7892,2020-06-10,37,400.21
163,Customer_163,customer163@example.com,123-456-7893,2020-06-11,45,5407.11
164,Customer_164,customer164@example.com,123-456-7894,2020-06-12,17,3998.29
165,Customer_165,customer165@example.com,123-456-7895,2020-06-13,26,9973.91
166,Customer_166,customer166@example.com,123-456-7896,2020-06-14,35,8438.07
167,Customer_167,customer167@example.com,123-456-7897,2020-06-15,24,5215.05
168,Customer_168,customer168@example.com,123-456-7898,2020-06-16,5,8595.11
169,Customer_169,customer169@example.com,123-456-7899,2020-06-17,40,5773.42
170,Customer_170,customer170@example.com,123-456-7890,2020-06-18,46,4858.6
171,Customer_171,customer171@example.com,123-456-7891,2020-06-19,7,6003.91
172,Customer_172,customer172@example.com,123-456-7892,2020-06-20,46,2189.19
173,Customer_173,customer173@example.com,123-456-7893,2020-06-21,23,9076.4
174,Customer_174,customer174@example.com,123-456-7894,2020-06-22,47,4656.49
175,Customer_175,customer175@example.com,123-456-7895,2020-06-23,3,143.97
176,Customer_176,customer176@example.com,123-456-7896,2020-06-24,37,2258.42
177,Customer_177,customer177@example.com,123-456-7897,2020-06-25,40,4195.16
178,Customer_178,customer178@example.com,123-456-7898,2020-06-26,4,6645.88
179,Customer_179,customer179@example.com,123-456-7899,2020-06-27,38,2276.61
180,Customer_180,customer180@example.com,123-456-7890,2020-06-28,7,7181.08
181,Customer_181,customer181@example.com,123-456-7891,2020-06-29,32,7556.88
182,Customer_182,customer182@example.com,123-456-7892,2020-06-30,19,2710.68
183,Customer_183,customer183@example.com,123-456-7893,2020-07-01,40,7409.05
184,Customer_184,customer184@example.com,123-456-7894,2020-07-02,27,284.73
185,Customer_185,customer185@example.com,123-456-7895,2020-07-03,16,4022.48
186,Customer_186,customer186@example.com,123-456-7896,2020-07-04,14,3340.47
187,Customer_187,customer187@example.com,123-456-7897,2020-07-05,40,8092.68
188,Customer_188,customer188@example.com,123-456-7898,2020-07-06,15,5661.76
189,Customer_189,customer189@example.com,123-456-7899,2020-07-07,17,292.18
190,Customer_190,customer190@example.com,123-456-7890,2020-07-08,5,5729.54
191,Customer_191,customer191@example.com,123-456-7891,2020-07-09,7,8959.06
192,Customer_192,customer192@example.com,123-456-7892,2020-07-10,7,8885.87
193,Customer_193,customer193@example.com,123-456-7893,2020-07-11,27,6705.17
194,Customer_194,customer194@example.com,123-456-7894,2020-07-12,49,8899.31
195,Customer_195,customer195@example.com,123-456-7895,2020-07-13,40,8171.05
196,Customer_196,customer196@example.com,123-456-7896,2020-07-14,18,9797.1
197,Customer_197,customer197@example.com,123-456-7897,2020-07-15,3,5147.29
198,Customer_198,customer198@example.com,123-456-7898,2020-07-16,26,5880.64
199,Customer_199,customer199@example.com,123-456-7899,2020-07-17,13,2600.52
200,Customer_200,customer200@example.com,123-456-7890,2020-07-18,11,6756.72
201,Customer_201,customer201@example.com,123-456-7891,2020-07-19,49,6386.67
202,Customer_202,customer202@example.com,123-456-7892,2020-07-20,8,8685.04
203,Customer_203,customer203@example.com,123-456-7893,2020-07-21,41,1391.18
204,Customer_204,customer204@example.com,123-456-7894,2020-07-22,27,7123.5
205,Customer_205,customer205@example.com,123-456-7895,2020-07-23,49,6603.99
206,Customer_206,customer206@example.com,123-456-7896,2020-07-24,35,4989.41
207,Customer_207,customer207@example.com,123-456-7897,2020-07-25,13,1268.96
208,Customer_208,customer208@example.com,123-456-7898,2020-07-26,14,7621.76
209,Customer_209,customer209@example.com,123-456-7899,2020-07-27,6,9419.82
210,Customer_210,customer210@example.com,123-456-7890,2020-07-28,31,993.96
211,Customer_211,customer211@example.com,123-456-7891,2020-07-29,48,6754.78
212,Customer_212,customer212@example.com,123-456-7892,2020-07-30,18,2041.83
213,Customer_213,customer213@example.com,123-456-7893,2020-07-31,14,4826.52
214,Customer_214,customer214@example.com,123-456-7894,2020-08-01,14,253.23
215,Customer_215,customer215@example.com,123-456-7895,2020-08-02,24,2485.84
216,Customer_216,customer216@example.com,123-456-7896,2020-08-03,46,4868.59
217,Customer_217,customer217@example.com,123-456-7897,2020-08-04,39,450.76
218,Customer_218,customer218@example.com,123-456-7898,2020-08-05,37,9750.36
219,Customer_219,customer219@example.com,123-456-7899,2020-08-06,38,529.37
220,Customer_220,customer220@example.com,123-456-7890,2020-08-07,47,107.13
221,Customer_221,customer221@example.com,123-456-7891,2020-08-08,6,467.63
222,Customer_222,customer222@example.com,123-456-7892,2020-08-09,45,2850.65
223,Customer_223,customer223@example.com,123-456-7893,2020-08-10,34,860.2
224,Customer_224,customer224@example.com,123-456-7894,2020-08-11,24,5223.78
225,Customer_225,customer225@example.com,123-456-7895,2020-08-12,7,5611.35
226,Customer_226,customer226@example.com,123-456-7896,2020-08-13,28,4449.07
227,Customer_227,customer227@example.com,123-456-7897,2020-08-14,34,5723.13
228,Customer_228,customer228@example.com,123-456-7898,2020-08-15,1,4567.57
229,Customer_229,customer229@example.com,123-456-7899,2020-08-16,5,3177.79
230,Customer_230,customer230@example.com,123-456-7890,2020-08-17,32,4240.71
231,Customer_231,customer231@example.com,123-456-7891,2020-08-18,9,2882.56
232,Customer_232,customer232@example.com,123-456-7892,2020-08-19,25,8355.84
233,Customer_233,customer233@example.com,123-456-7893,2020-08-20,16,9251.62
234,Customer_234,customer234@example.com,123-456-7894,2020-08-21,2,6099.55
235,Customer_235,customer235@example.com,123-456-7895,2020-08-22,34,5668.36
236,Customer_236,customer236@example.com,123-456-7896,2020-08-23,6,5806.57
237,Customer_237,customer237@example.com,123-456-7897,2020-08-24,35,4640.62
238,Customer_238,customer238@example.com,123-456-7898,2020-08-25,31,7426.77
239,Customer_239,customer239@example.com,123-456-7899,2020-08-26,19,3717.19
240,Customer_240,customer240@example.com,123-456-7890,2020-08-27,29,5686.32
241,Customer_241,customer241@example.com,123-456-7891,2020-08-28,42,2064.69
242,Customer_242,customer242@example.com,123-456-7892,2020-08-29,49,7202.55
243,Customer_243,customer243@example.com,123-456-7893,2020-08-30,46,6800.51
244,Customer_244,customer244@example.com,123-456-7894,2020-08-31,23,2175.6
245,Customer_245,customer245@example.com,123-456-7895,2020-09-01,37,5936.52
246,Customer_246,customer246@example.com,123-456-7896,2020-09-02,27,1176.85
247,Customer_247,customer247@example.com,123-456-7897,2020-09-03,45,2609.4
248,Customer_248,customer248@example.com,123-456-7898,2020-09-04,16,9649.87
249,Customer_249,customer249@example.com,123-456-7899,2020-09-05,12,4549.2
250,Customer_250,customer250@example.com,123-456-7890,2020-09-06,7,7291.71
251,Customer_251,customer251@example.com,123-456-7891,2020-09-07,40,4168.47
252,Customer_252,customer252@example.com,123-456-7892,2020-09-08,24,4292.21
253,Customer_253,customer253@example.com,123-456-7893,2020-09-09,22,3525.22
254,Customer_254,customer254@example.com,123-456-7894,2020-09-10,31,9535.81
255,Customer_255,customer255@example.com,123-456-7895,2020-09-11,41,3667.76
256,Customer_256,customer256@example.com,123-456-7896,2020-09-12,30,3639.75
257,Customer_257,customer257@example.com,123-456-7897,2020-09-13,23,9428.26
258,Customer_258,customer258@example.com,123-456-7898,2020-09-14,14,4581.95
259,Customer_259,customer259@example.com,123-456-7899,2020-09-15,22,1297.28
260,Customer_260,customer260@example.com,123-456-7890,2020-09-16,4,709.7
261,Customer_261,customer261@example.com,123-456-7891,2020-09-17,38,994.68
262,Customer_262,customer262@example.com,123-456-7892,2020-09-18,13,6481.72
263,Customer_263,customer263@example.com,123-456-7893,2020-09-19,40,5883.41
264,Customer_264,customer264@example.com,123-456-7894,2020-09-20,25,7421.03
265,Customer_265,customer265@example.com,123-456-7895,2020-09-21,41,8499.67
266,Customer_266,customer266@example.com,123-456-7896,2020-09-22,18,8924.74
267,Customer_267,customer267@example.com,123-456-7897,2020-09-23,30,9797.01
268,Customer_268,customer268@example.com,123-456-7898,2020-09-24,36,2277.12
269,Customer_269,customer269@example.com,123-456-7899,2020-09-25,49,9322.13
270,Customer_270,customer270@example.com,123-456-7890,2020-09-26,3,3224.98
271,Customer_271,customer271@example.com,123-456-7891,2020-09-27,40,1728.79
272,Customer_272,customer272@example.com,123-456-7892,2020-09-28,8,3927.22
273,Customer_273,customer273@example.com,123-456-7893,2020-09-29,24,5496.27
274,Customer_274,customer274@example.com,123-456-7894,2020-09-30,11,201.59
275,Customer_275,customer275@example.com,123-456-7895,2020-10-01,8,2185.45
276,Customer_276,customer276@example.com,123-456-7896,2020-10-02,32,2199.32
277,Customer_277,customer277@example.com,123-456-7897,2020-10-03,39,2722.46
278,Customer_278,customer278@example.com,123-456-7898,2020-10-04,15,8526.52
279,Customer_279,customer279@example.com,123-456-7899,2020-10-05,4,3972.97
280,Customer_280,customer280@example.com,123-456-7890,2020-10-06,31,8032.22
281,Customer_281,customer281@example.com,123-456-7891,2020-10-07,48,4455.01
282,Customer_282,customer282@example.com,123-456-7892,2020-10-08,27,2973.03
283,Customer_283,customer283@example.com,123-456-7893,2020-10-09,39,717.29
284,Customer_284,customer284@example.com,123-456-7894,2020-10-10,4,7712.13
285,Customer_285,customer285@example.com,123-456-7895,2020-10-11,30,1940.6
286,Customer_286,customer286@example.com,123-456-7896,2020-10-12,25,1340.69
287,Customer_287,customer287@example.com,123-456-7897,2020-10-13,17,3071.73
288,Customer_288,customer288@example.com,123-456-7898,2020-10-14,10,872.89
289,Customer_289,customer289@example.com,123-456-7899,2020-10-15,49,7223.37
290,Customer_290,customer290@example.com,123-456-7890,2020-10-16,5,1847.97
291,Customer_291,customer291@example.com,123-456-7891,2020-10-17,46,8621.91
292,Customer_292,customer292@example.com,123-456-7892,2020-10-18,32,1199.81
293,Customer_293,customer293@example.com,123-456-7893,2020-10-19,18,8173.92
294,Customer_294,customer294@example.com,123-456-7894,2020-10-20,34,5540.72
295,Customer_295,customer295@example.com,123-456-7895,2020-10-21,10,1354.21
296,Customer_296,customer296@example.com,123-456-7896,2020-10-22,28,1475.11
297,Customer_297,customer297@example.com,123-456-7897,2020-10-23,42,6536.11
298,Customer_298,customer298@example.com,123-456-7898,2020-10-24,34,8779.37
299,Customer_299,customer299@example.com,123-456-7899,2020-10-25,4,6604.58
300,Customer_300,customer300@example.com,123-456-7890,2020-10-26,7,4604.29
301,Customer_301,customer301@example.com,123-456-7891,2020-10-27,32,9323.89
302,Customer_302,customer302@example.com,123-456-7892,2020-10-28,15,746.97
303,Customer_303,customer303@example.com,123-456-7893,2020-10-29,1,7021.45
304,Customer_304,customer304@example.com,123-456-7894,2020-10-30,22,6704.16
305,Customer_305,customer305@example.com,123-456-7895,2020-10-31,17,3368.61
306,Customer_306,customer306@example.com,123-456-7896,2020-11-01,4,8107.72
307,Customer_307,customer307@example.com,123-456-7897,2020-11-02,31,3486.95
308,Customer_308,customer308@example.com,123-456-7898,2020-11-03,47,909.3
309,Customer_309,customer309@example.com,123-456-7899,2020-11-04,40,1415.93
310,Customer_310,customer310@example.com,123-456-7890,2020-11-05,28,3551.07
311,Customer_311,customer311@example.com,123-456-7891,2020-11-06,20,5970.3
312,Customer_312,customer312@example.com,123-456-7892,2020-11-07,45,4057.53
313,Customer_313,customer313@example.com,123-456-7893,2020-11-08,22,709.58
314,Customer_314,customer314@example.com,123-456-7894,2020-11-09,14,5237.21
315,Customer_315,customer315@example.com,123-456-7895,2020-11-10,35,4943.91
316,Customer_316,customer316@example.com,123-456-7896,2020-11-11,4,1687.91
317,Customer_317,customer317@example.com,123-456-7897,2020-11-12,43,2833.69
318,Customer_318,customer318@example.com,123-456-7898,2020-11-13,5,117.7
319,Customer_319,customer319@example.com,123-456-7899,2020-11-14,29,1477.97
320,Customer_320,customer320@example.com,123-456-7890,2020-11-15,40,6159.18
321,Customer_321,customer321@example.com,123-456-7891,2020-11-16,6,6844.25
322,Customer_322,customer322@example.com,123-456-7892,2020-11-17,25,8705.24
323,Customer_323,customer323@example.com,123-456-7893,2020-11-18,40,9209.15
324,Customer_324,customer324@example.com,123-456-7894,2020-11-19,27,6650.65
325,Customer_325,customer325@example.com,123-456-7895,2020-11-20,11,7340.42
326,Customer_326,customer326@example.com,123-456-7896,2020-11-21,23,6628.46
327,Customer_327,customer327@example.com,123-456-7897,2020-11-22,43,1488.88
328,Customer_328,customer328@example.com,123-456-7898,2020-11-23,30,7723.25
329,Customer_329,customer329@example.com,123-456-7899,2020-11-24,23,7854.45
330,Customer_330,customer330@example.com,123-456-7890,2020-11-25,36,9443.99
331,Customer_331,customer331@example.com,123-456-7891,2020-11-26,14,9124.96
332,Customer_332,customer332@example.com,123-456-7892,2020-11-27,30,4541.63
333,Customer_333,customer333@example.com,123-456-7893,2020-11-28,22,1255.71
334,Customer_334,customer334@example.com,123-456-7894,2020-11-29,31,1745.05
335,Customer_335,customer335@example.com,123-456-7895,2020-11-30,33,9248.48
336,Customer_336,customer336@example.com,123-456-7896,2020-12-01,9,2007.15
337,Customer_337,customer337@example.com,123-456-7897,2020-12-02,35,2904.73
338,Customer_338,customer338@example.com,123-456-7898,2020-12-03,7,3973.87
339,Customer_339,customer339@example.com,123-456-7899,2020-12-04,12,3780.74
340,Customer_340,customer340@example.com,123-456-7890,2020-12-05,29,6101.75
341,Customer_341,customer341@example.com,123-456-7891,2020-12-06,5,2928.83
342,Customer_342,customer342@example.com,123-456-7892,2020-12-07,31,673.26
343,Customer_343,customer343@example.com,123-456-7893,2020-12-08,9,1281.83
344,Customer_344,customer344@example.com,123-456-7894,2020-12-09,12,5761.07
345,Customer_345,customer345@example.com,123-456-7895,2020-12-10,32,4184.75
346,Customer_346,customer346@example.com,123-456-7896,2020-12-11,1,3387.69
347,Customer_347,customer347@example.com,123-456-7897,2020-12-12,27,1176.01
348,Customer_348,customer348@example.com,123-456-7898,2020-12-13,2,3785.4
349,Customer_349,customer349@example.com,123-456-7899,2020-12-14,34,657.07
350,Customer_350,customer350@example.com,123-456-7890,2020-12-15,22,5469.59
351,Customer_351,customer351@example.com,123-456-7891,2020-12-16,37,1913.49
352,Customer_352,customer352@example.com,123-456-7892,2020-12-17,40,739.69
353,Customer_353,customer353@example.com,123-456-7893,2020-12-18,5,3503.73
354,Customer_354,customer354@example.com,123-456-7894,2020-12-19,23,6423.97
355,Customer_355,customer355@example.com,123-456-7895,2020-12-20,5,3289.55
356,Customer_356,customer356@example.com,123-456-7896,2020-12-21,34,9213.28
357,Customer_357,customer357@example.com,123-456-7897,2020-12-22,37,9197.46
358,Customer_358,customer358@example.com,123-456-7898,2020-12-23,18,7874.43
359,Customer_359,customer359@example.com,123-456-7899,2020-12-24,18,4341.02
360,Customer_360,customer360@example.com,123-456-7890,2020-12-25,35,2443.07
361,Customer_361,customer361@example.com,123-456-7891,2020-12-26,34,7704.32
362,Customer_362,customer362@example.com,123-456-7892,2020-12-27,35,2078.49
363,Customer_363,customer363@example.com,123-456-7893,2020-12-28,11,7023.27
364,Customer_364,customer364@example.com,123-456-7894,2020-12-29,29,7587.06
365,Customer_365,customer365@example.com,123-456-7895,2020-12-30,17,3763.44
366,Customer_366,customer366@example.com,123-456-7896,2020-12-31,33,1377.37
367,Customer_367,customer367@example.com,123-456-7897,2021-01-01,27,1693.42
368,Customer_368,customer368@example.com,123-456-7898,2021-01-02,6,6160.46
369,Customer_369,customer369@example.com,123-456-7899,2021-01-03,3,7794.58
370,Customer_370,customer370@example.com,123-456-7890,2021-01-04,18,7307.23
371,Customer_371,customer371@example.com,123-456-7891,2021-01-05,40,1377.46
372,Customer_372,customer372@example.com,123-456-7892,2021-01-06,42,5560.59
373,Customer_373,customer373@example.com,123-456-7893,2021-01-07,43,3735.82
374,Customer_374,customer374@example.com,123-456-7894,2021-01-08,32,2985.54
375,Customer_375,customer375@example.com,123-456-7895,2021-01-09,1,2318.61
376,Customer_376,customer376@example.com,123-456-7896,2021-01-10,35,532.19
377,Customer_377,customer377@example.com,123-456-7897,2021-01-11,27,9714.44
